date,quarter,day,Team Code,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,productivity_score
1/1/2015,Quarter1,Thursday,8,26.16,1108.0,7080,98,0.0,0,0,59.0,94.073
1/1/2015,Quarter1,Thursday,1,3.94,,960,0,0.0,0,0,8.0,88.65
1/1/2015,Quarter1,Thursday,11,11.41,968.0,3660,50,0.0,0,0,30.5,80.057
1/1/2015,Quarter1,Thursday,12,11.41,968.0,3660,50,0.0,0,0,30.5,80.057
1/1/2015,Quarter1,Thursday,6,25.9,1170.0,1920,50,0.0,0,0,56.0,80.038
1/1/2015,Quarter1,Thursday,7,25.9,984.0,6720,38,0.0,0,0,56.0,80.012
1/1/2015,Quarter1,Thursday,2,3.94,,960,0,0.0,0,0,8.0,75.517
1/1/2015,Quarter1,Thursday,3,28.08,795.0,6900,45,0.0,0,0,57.5,75.368
2016-01-01,Quarter1,Thursday,2,19.87,733.0,6000,34,0.0,0,0,55.0,75.31
2016-01-01,Quarter1,Thursday,1,28.08,681.0,6900,45,0.0,0,0,57.5,75.043
1/1/2015,Quarter1,Thursday,9,28.08,872.0,6900,44,0.0,0,0,57.5,72.113
1/1/2015,Quarter1,Thursday,10,19.31,578.0,6480,45,0.0,0,0,54.0,71.221
1/1/2015,Quarter1,Thursday,5,11.41,668.0,3660,50,0.0,0,0,30.5,70.705
2016-01-01,Quarter1,Thursday,10,3.94,,960,0,0.0,0,0,8.0,70.592
2016-01-01,Quarter1,Thursday,8,2.9,,960,0,0.0,0,0,8.0,67.667
1/1/2015,Quarter1,Thursday,4,3.94,,2160,0,0.0,0,0,18.0,59.306
2016-01-01,Quarter1,Thursday,7,2.9,,960,0,0.0,0,0,8.0,54.073
2016-01-01,Quarter1,Thursday,4,23.69,861.0,7200,0,0.0,0,0,60.0,52.118
2016-01-01,Quarter1,Thursday,11,4.15,,1440,0,0.0,0,0,12.0,43.633
1/3/2015,Quarter1,Saturday,4,4.15,,6600,0,0.0,0,0,20.0,98.802
1/3/2015,Quarter1,Saturday,11,2.9,,5640,0,0.0,0,0,17.0,98.788
1/3/2015,Quarter1,Saturday,9,4.15,,960,0,0.0,0,0,8.0,95.627
1/3/2015,Quarter1,Saturday,3,3.94,,1560,0,0.0,0,0,8.0,94.528
1/3/2015,Quarter1,Saturday,1,3.94,,960,0,0.0,0,0,8.0,90.292
